time,angle_set0,angle_set1,angle_real0,angle_real1
0.0005,0.02,5.0,5.65,5.36
0.0269,0.84,4.93,5.65,5.35
0.051,1.57,4.75,5.44,5.12
0.0752,2.28,4.45,4.95,4.73
0.1008,2.96,4.03,4.67,4.43
0.1237,3.51,3.56,4.61,4.25
0.1469,3.99,3.02,4.69,4.03
0.1706,4.39,2.39,4.94,3.62
0.1937,4.69,1.73,5.23,2.93
0.217,4.89,1.03,5.61,1.99
0.2399,4.99,0.32,5.73,1.09
0.2632,4.98,-0.41,5.24,0.22
0.2871,4.86,-1.16,4.44,-0.54
0.3105,4.64,-1.86,3.29,-1.29
0.3337,4.32,-2.51,2.35,-1.94
0.3565,3.92,-3.1,1.64,-2.56
0.3798,3.43,-3.64,1.28,-3.22
0.4028,2.87,-4.1,1.04,-3.81
0.426,2.24,-4.47,0.93,-4.34
0.4497,1.55,-4.75,0.77,-4.84
0.4727,0.85,-4.93,0.44,-5.31
0.4963,0.12,-5.0,-0.22,-5.74
0.5199,-0.62,-4.96,-1.29,-5.97
0.5433,-1.34,-4.82,-2.52,-5.7
0.5667,-2.03,-4.57,-3.63,-5.22
0.5901,-2.68,-4.22,-4.51,-4.78
0.6129,-3.26,-3.79,-4.88,-4.41
0.6364,-3.78,-3.27,-4.89,-4.14
0.6595,-4.21,-2.69,-4.78,-3.84
0.6831,-4.56,-2.04,-4.7,-3.49
0.7063,-4.81,-1.36,-4.77,-3.04
0.7295,-4.96,-0.64,-4.97,-2.36
0.753,-5.0,0.09,-5.27,-1.61
0.7766,-4.93,0.83,-5.58,-0.71
0.8,-4.76,1.55,-5.82,0.11
0.8233,-4.48,2.22,-5.78,0.95
0.847,-4.1,2.86,-5.23,1.75
0.8704,-3.64,3.43,-4.27,2.54
0.8935,-3.1,3.92,-3.22,3.33
0.9163,-2.51,4.32,-2.17,4.14
0.9393,-1.86,4.64,-1.33,4.82
0.9622,-1.18,4.86,-0.72,5.22
0.9853,-0.46,4.98,-0.4,5.29
1.0081,0.25,4.99,-0.12,5.18
1.0313,0.98,4.9,0.12,5.09
1.0541,1.67,4.71,0.5,5.07
1.0776,2.34,4.42,1.19,5.09
1.1005,2.95,4.04,2.06,5.11
1.1249,3.53,3.54,3.06,5.02
1.1491,4.03,2.96,4.18,4.5
1.1733,4.43,2.32,4.93,3.49
1.1969,4.72,1.64,5.24,2.39
1.2209,4.92,0.91,5.0,1.46
1.2442,5.0,0.18,4.54,0.71
1.2683,4.97,-0.57,4.08,0.15
1.2915,4.83,-1.29,3.75,-0.31
1.3146,4.59,-1.97,3.68,-0.8
1.3385,4.25,-2.64,3.82,-1.41
